web-scraper-order,web-scraper-start-url,filme,filme-href,a_titulo,a_titulo_original,a_avaliacao,a_capa-src,a_txt_generos,a_ano,a_tipo
"1676315191-199","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Day 15","https://www.imdb.com/title/tt2028472/?ref_=kw_li_tt","Day 15","Day 15","null","null","Curta-Metragem","2010","20102010"
"1676315191-200","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Day 15","https://www.imdb.com/title/tt2028472/?ref_=kw_li_tt","Day 15","Day 15","null","null","Ficção científica","2010","20102010"
"1676315196-201","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Alien Hunter","https://www.imdb.com/title/tt1068217/?ref_=kw_li_tt","Alien Hunter","Alien Hunter","null","https://m.media-amazon.com/images/M/MV5BMTMzY2FmZGQtYWIzMC00YWY3LTkyMzgtZDViZWQ2ZmFlOTJlXkEyXkFqcGdeQXVyMzA5MTg5Mw@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Curta-Metragem","2004","20042004"
"1676315196-202","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Alien Hunter","https://www.imdb.com/title/tt1068217/?ref_=kw_li_tt","Alien Hunter","Alien Hunter","null","https://m.media-amazon.com/images/M/MV5BMTMzY2FmZGQtYWIzMC00YWY3LTkyMzgtZDViZWQ2ZmFlOTJlXkEyXkFqcGdeQXVyMzA5MTg5Mw@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Ação","2004","20042004"
"1676315196-203","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Alien Hunter","https://www.imdb.com/title/tt1068217/?ref_=kw_li_tt","Alien Hunter","Alien Hunter","null","https://m.media-amazon.com/images/M/MV5BMTMzY2FmZGQtYWIzMC00YWY3LTkyMzgtZDViZWQ2ZmFlOTJlXkEyXkFqcGdeQXVyMzA5MTg5Mw@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Ficção científica","2004","20042004"
"1676315200-204","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","The Day the Earth Stopped","https://www.imdb.com/title/tt1290471/?ref_=kw_li_tt","The Day the Earth Stopped","The Day the Earth Stopped","2,8","https://m.media-amazon.com/images/M/MV5BNDYwMTI1Mzc3MF5BMl5BanBnXkFtZTcwOTg3MTEwMg@@._V1_QL75_UY281_CR6,0,190,281_.jpg","Ação","2008","Vídeo"
"1676315200-205","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","The Day the Earth Stopped","https://www.imdb.com/title/tt1290471/?ref_=kw_li_tt","The Day the Earth Stopped","The Day the Earth Stopped","2,8","https://m.media-amazon.com/images/M/MV5BNDYwMTI1Mzc3MF5BMl5BanBnXkFtZTcwOTg3MTEwMg@@._V1_QL75_UY281_CR6,0,190,281_.jpg","Ficção científica","2008","Vídeo"
"1676315206-206","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Jiu Jitsu","https://www.imdb.com/title/tt9624766/?ref_=kw_li_tt","Jiu Jitsu","Jiu Jitsu","2,9","https://m.media-amazon.com/images/M/MV5BOWU2YzRlYzYtNDE0Mi00NzhkLTkxYWItZDMxNmQxZmRjZWY2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg","Ação","2020","20202020"
"1676315206-207","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Jiu Jitsu","https://www.imdb.com/title/tt9624766/?ref_=kw_li_tt","Jiu Jitsu","Jiu Jitsu","2,9","https://m.media-amazon.com/images/M/MV5BOWU2YzRlYzYtNDE0Mi00NzhkLTkxYWItZDMxNmQxZmRjZWY2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg","Ficção científica","2020","20202020"
"1676315206-208","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Jiu Jitsu","https://www.imdb.com/title/tt9624766/?ref_=kw_li_tt","Jiu Jitsu","Jiu Jitsu","2,9","https://m.media-amazon.com/images/M/MV5BOWU2YzRlYzYtNDE0Mi00NzhkLTkxYWItZDMxNmQxZmRjZWY2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg","Suspense","2020","20202020"
"1676315210-209","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","O Dia do Juízo Final","https://www.imdb.com/title/tt0075990/?ref_=kw_li_tt","O Dia do Juízo Final","O Dia do Juízo Final","3,1","https://m.media-amazon.com/images/M/MV5BN2JmOGQ3NjYtMDRlNi00YzcyLTk4MTAtZTlkMGE2YzYyYWFjXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Terror","1977","19771977"
"1676315210-210","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","O Dia do Juízo Final","https://www.imdb.com/title/tt0075990/?ref_=kw_li_tt","O Dia do Juízo Final","O Dia do Juízo Final","3,1","https://m.media-amazon.com/images/M/MV5BN2JmOGQ3NjYtMDRlNi00YzcyLTk4MTAtZTlkMGE2YzYyYWFjXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Mistério","1977","19771977"
"1676315210-211","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","O Dia do Juízo Final","https://www.imdb.com/title/tt0075990/?ref_=kw_li_tt","O Dia do Juízo Final","O Dia do Juízo Final","3,1","https://m.media-amazon.com/images/M/MV5BN2JmOGQ3NjYtMDRlNi00YzcyLTk4MTAtZTlkMGE2YzYyYWFjXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Ficção científica","1977","19771977"
"1676315216-212","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Invasion Planet Earth","https://www.imdb.com/title/tt3827540/?ref_=kw_li_tt","Invasion Planet Earth","Invasion Planet Earth","3,1","https://m.media-amazon.com/images/M/MV5BYjU2ZTU3M2QtMGIxYi00NWQ1LTk3OTUtYTk2NDkyODdlNjFlXkEyXkFqcGdeQXVyMTc3MzExOTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg","Ação","2019","20192019"
"1676315216-213","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Invasion Planet Earth","https://www.imdb.com/title/tt3827540/?ref_=kw_li_tt","Invasion Planet Earth","Invasion Planet Earth","3,1","https://m.media-amazon.com/images/M/MV5BYjU2ZTU3M2QtMGIxYi00NWQ1LTk3OTUtYTk2NDkyODdlNjFlXkEyXkFqcGdeQXVyMTc3MzExOTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg","Aventura","2019","20192019"
"1676315216-214","https://www.imdb.com/search/keyword/?keywords=alien%2Cextraterrestrial%2Calien-invasion&ref_=kw_ref_key&mode=detail&page=3&sort=user_rating,desc","Invasion Planet Earth","https://www.imdb.com/title/tt3827540/?ref_=kw_li_tt","Invasion Planet Earth","Invasion Planet Earth","3,1","https://m.media-amazon.com/images/M/MV5BYjU2ZTU3M2QtMGIxYi00NWQ1LTk3OTUtYTk2NDkyODdlNjFlXkEyXkFqcGdeQXVyMTc3MzExOTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg","Drama","2019","20192019"
